timestamp, accx, accy, accz, gyrox, gyroy, gyroz, laccx, laccy, laccz, gravx, gravy, gravz, magfieldx, magfieldy, magfieldz, anglex, angley, anglez, rot0, rot1, rot2, rot3, rot4, rot5, rot6, rot7, rot8, speedgps, latgps, longps, altgps, accgps
153688585,0.05746084,0.21068975,10.534488,-0.0031958907,0.0021305939,0.0,0.02953944,-0.015844911,0.7304945,0.027921401,0.22653466,9.803993,8.25,56.9375,-83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688586,0.05746084,0.21068975,10.534488,0.0021305939,0.0042611877,-0.0021305939,0.02953944,-0.015844911,0.7304945,0.027921401,0.22653466,9.803993,8.25,56.9375,-83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688587,0.05746084,0.21068975,10.534488,0.0021305939,0.0042611877,-0.0021305939,0.02953944,-0.015844911,0.7304945,0.027921401,0.22653466,9.803993,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688590,0.05746084,0.21068975,10.534488,0.0042611877,0.005326485,0.0021305939,0.02953944,-0.015844911,0.7304945,0.027921401,0.22653466,9.803993,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688595,0.06703765,0.20111294,10.611102,0.0042611877,0.005326485,0.0021305939,0.02953944,-0.015844911,0.7304945,0.027921401,0.22653466,9.803993,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688595,0.06703765,0.20111294,10.611102,0.0042611877,0.005326485,0.0021305939,0.02953944,-0.015844911,0.7304945,0.027747255,0.22676875,9.803988,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688595,0.06703765,0.20111294,10.611102,0.0042611877,0.005326485,0.0021305939,0.039290395,-0.025655806,0.80711365,0.027747255,0.22676875,9.803988,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688595,0.06703765,0.20111294,10.611102,0.005326485,0.0063917814,0.0010652969,0.039290395,-0.025655806,0.80711365,0.027747255,0.22676875,9.803988,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688600,0.06703765,0.20111294,10.611102,-0.0031958907,-0.0021305939,0.0010652969,0.039290395,-0.025655806,0.80711365,0.027747255,0.22676875,9.803988,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688605,0.019153614,0.17238252,10.563218,-0.0031958907,-0.0021305939,0.0010652969,0.039290395,-0.025655806,0.80711365,0.027747255,0.22676875,9.803988,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
