timestamp, accx, accy, accz, laccx, laccy, laccz, gravx, gravy, gravz, magfieldx, magfieldy, magfieldz, anglex, angley, anglez, rot0, rot1, rot2, rot3, rot4, rot5, rot6, rot7, rot8, speedgps, latgps, longps, altgps, accgps
1477659962056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3125,-46.8125,21.25,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659962076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875,-46.9375,21.0625,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659962095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,-46.9375,21.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659962115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9375,-46.9375,21.25,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659962135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,-47.1875,21.4375,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659962143,0.0,10.04607,1.5514427,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,-47.1875,21.4375,3.1107798,-1.417574,-0.0,-0.99952525,0.004702019,-0.030447027,-0.03080796,-0.15255105,0.9878152,0.0,0.9882844,0.15262352,0.0,0.0,0.0,0.0,0.0
1477659962143,0.0,10.04607,1.5514427,0.0,0.0,0.0,-0.27629825,9.729762,1.1940649,-0.875,-47.1875,21.4375,3.1107798,-1.417574,-0.0,-0.99952525,0.004702019,-0.030447027,-0.03080796,-0.15255105,0.9878152,0.0,0.9882844,0.15262352,0.0,0.0,0.0,0.0,0.0
1477659962143,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.875,-47.1875,21.4375,3.1107798,-1.417574,-0.0,-0.99952525,0.004702019,-0.030447027,-0.03080796,-0.15255105,0.9878152,0.0,0.9882844,0.15262352,0.0,0.0,0.0,0.0,0.0
1477659962155,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.8125,-47.25,21.375,3.1129267,-1.417574,-0.0,-0.99958915,0.0043744883,-0.02832616,-0.028661951,-0.15256082,0.9878784,0.0,0.9882844,0.15262352,0.0,0.0,0.0,0.0,0.0
1477659962082,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.8125,-47.25,21.375,3.1129267,-1.417574,-0.0,-0.99958915,0.0043744883,-0.02832616,-0.028661951,-0.15256082,0.9878784,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962176,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.9375,-47.375,21.3125,3.1084697,-1.417574,-0.0,-0.9994515,0.0050544054,-0.032728836,-0.03311682,-0.1525398,0.98774236,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962195,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.9375,-47.6875,21.1875,3.1083808,-1.417574,-0.0,-0.99944854,0.0050679753,-0.032816704,-0.03320573,-0.15253936,0.9877394,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962215,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.8125,-47.625,21.25,3.1128595,-1.417574,-0.0,-0.9995873,0.0043847393,-0.028392538,-0.028729118,-0.15256053,0.98787653,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962234,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.75,-47.625,21.3125,3.1151266,-1.417574,-0.0,-0.99964976,0.00403888,-0.026152994,-0.026463024,-0.15257007,0.9879383,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962253,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.75,-47.5625,21.0625,3.1148849,-1.417574,-0.0,-0.9996434,0.00407577,-0.026391868,-0.026704729,-0.15256909,0.98793197,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962273,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-0.75,-47.5625,20.875,3.1147075,-1.417574,-0.0,-0.9996387,0.0041028312,-0.026567096,-0.026882034,-0.15256837,0.9879273,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962293,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-1.0,-47.5,20.5,3.1052575,-1.417574,-0.0,-0.99933994,0.0055443784,-0.03590156,-0.036327157,-0.15252277,0.9876321,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962313,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-1.1875,-47.4375,20.5625,3.098534,-1.417574,-0.0,-0.99907315,0.0065697185,-0.042540953,-0.043045253,-0.15248206,0.9873684,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962334,0.0,10.04607,1.5514427,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-1.1875,-47.375,20.6875,3.0987113,-1.417574,-0.0,-0.9990807,0.006542707,-0.042366046,-0.042868275,-0.15248321,0.9873759,0.0,0.9882844,0.15262352,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962341,-0.31603462,10.160992,1.4748282,0.27629825,0.31630802,0.3573779,-0.27629825,9.729762,1.1940649,-1.1875,-47.375,20.6875,-3.0254931,-1.4234314,0.21109334,-0.9952283,-0.017008869,-0.09607874,-0.092595376,-0.14584376,0.9849647,-0.030765625,0.98916143,0.14357291,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962341,-0.31603462,10.160992,1.4748282,0.27629825,0.31630802,0.3573779,-0.24149701,9.733001,1.1750532,-1.1875,-47.375,20.6875,-3.0254931,-1.4234314,0.21109334,-0.9952283,-0.017008869,-0.09607874,-0.092595376,-0.14584376,0.9849647,-0.030765625,0.98916143,0.14357291,1.3509257,40.81577422,-96.68551209,318.0,16.0
1477659962341,-0.31603462,10.160992,1.4748282,-0.074537605,0.4279909,0.299775,-0.24149701,9.733001,1.1750532,-1.1875,-47.375,20.6875,-3.0254931,-1.4234314,0.21109334,-0.9952283,-0.017008869,-0.09607874,-0.092595376,-0.14584376,0.9849647,-0.030765625,0.98916143,0.14357291,1.3509257,40.81577422,-96.68551209,318.0,16.0
