timestamp, accx, accy, accz, laccx, laccy, laccz, gravx, gravy, gravz, magfieldx, magfieldy, magfieldz, anglex, angley, anglez, rot0, rot1, rot2, rot3, rot4, rot5, rot6, rot7, rot8, speedgps, latgps, longps, altgps, accgps
1477659932849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3125,-52.6875,36.625,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5625,-52.8125,36.5625,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,-52.75,36.5,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.625,-52.75,36.75,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4375,-52.9375,36.8125,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.25,-53.0625,36.8125,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659932987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.25,-52.9375,36.8125,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659933007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.125,-53.1875,36.6875,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477659933020,-0.6703765,9.730036,2.5187001,0.0,0.0,0.0,0.0,0.0,0.0,-4.125,-53.1875,36.6875,-3.0308971,-1.3090706,0.26012903,-0.9878879,-0.028583778,-0.15251346,-0.14017244,-0.25716424,0.95614755,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933020,-0.6703765,9.730036,2.5187001,0.0,0.0,0.0,-0.6714161,9.504672,2.3196495,-4.125,-53.1875,36.6875,-3.0308971,-1.3090706,0.26012903,-0.9878879,-0.028583778,-0.15251346,-0.14017244,-0.25716424,0.95614755,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933021,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.125,-53.1875,36.6875,-3.0308971,-1.3090706,0.26012903,-0.9878879,-0.028583778,-0.15251346,-0.14017244,-0.25716424,0.95614755,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933027,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.0625,-53.375,36.5625,-3.0301394,-1.3090706,0.26012903,-0.9879939,-0.028778614,-0.15178896,-0.13942388,-0.2571425,0.95626295,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933048,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.1875,-53.4375,36.5,-3.0328774,-1.3090706,0.26012903,-0.98760843,-0.028074473,-0.15440658,-0.14212842,-0.25722033,0.9558437,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933068,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.125,-53.8125,36.3125,-3.0324247,-1.3090706,0.26012903,-0.9876726,-0.02819092,-0.15397379,-0.14168125,-0.2572076,0.9559134,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933087,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.375,-53.8125,36.1875,-3.0378506,-1.3090706,0.26012903,-0.98688936,-0.0267949,-0.1591583,-0.14703828,-0.25735676,0.955064,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
1477659933110,-0.6703765,9.730036,2.5187001,0.0010396242,0.22536373,0.19905066,-0.6714161,9.504672,2.3196495,-4.5,-53.75,36.0625,-3.0407438,-1.3090706,0.26012903,-0.9864599,-0.02605022,-0.1619208,-0.1498929,-0.25743324,0.95459956,-0.06655132,0.9659449,0.2500428,0.0,0.0,0.0,0.0,0.0
